age,sex,province,education,n
36,Female,Alberta,High school diploma,3
36,Female,Alberta,Master's degree,4
36,Female,British Columbia,Associate degree,5
36,Female,British Columbia,Bachelor's degree,5
36,Female,British Columbia,High school diploma,5
36,Female,British Columbia,Master's degree,3
36,Female,British Columbia,No high school diploma,1
36,Female,Manitoba,Associate degree,3
36,Female,Manitoba,Bachelor's degree,4
36,Female,Manitoba,Master's degree,1
36,Female,Manitoba,No high school diploma,1
36,Female,New Brunswick,Associate degree,3
36,Female,New Brunswick,Bachelor's degree,3
36,Female,New Brunswick,High school diploma,3
36,Female,New Brunswick,Master's degree,1
36,Female,Newfoundland and Labrador,Associate degree,4
36,Female,Newfoundland and Labrador,Bachelor's degree,1
36,Female,Newfoundland and Labrador,High school diploma,2
36,Female,Newfoundland and Labrador,Master's degree,1
36,Female,Nova Scotia,Associate degree,2
36,Female,Nova Scotia,Bachelor's degree,2
36,Female,Nova Scotia,Master's degree,2
36,Female,Nova Scotia,No high school diploma,1
36,Female,Ontario,Associate degree,15
36,Female,Ontario,Bachelor's degree,17
36,Female,Ontario,High school diploma,8
36,Female,Ontario,Master's degree,8
36,Female,Prince Edward Island,Associate degree,2
36,Female,Prince Edward Island,Bachelor's degree,1
36,Female,Prince Edward Island,High school diploma,1
36,Female,Quebec,Associate degree,11
36,Female,Quebec,Bachelor's degree,16
36,Female,Quebec,High school diploma,1
36,Female,Quebec,Master's degree,2
36,Female,Quebec,No high school diploma,1
36,Female,Saskatchewan,Associate degree,9
36,Female,Saskatchewan,Bachelor's degree,3
36,Female,Saskatchewan,High school diploma,1
36,Female,Saskatchewan,Master's degree,1
36,Male,Alberta,Associate degree,9
36,Male,Alberta,Bachelor's degree,5
36,Male,Alberta,High school diploma,4
36,Male,Alberta,Master's degree,3
36,Male,British Columbia,Associate degree,3
36,Male,British Columbia,Bachelor's degree,4
36,Male,British Columbia,High school diploma,6
36,Male,British Columbia,No high school diploma,3
36,Male,Manitoba,Associate degree,6
36,Male,Manitoba,Bachelor's degree,2
36,Male,Manitoba,High school diploma,3
36,Male,Manitoba,No high school diploma,1
36,Male,New Brunswick,Associate degree,3
36,Male,New Brunswick,Bachelor's degree,2
36,Male,Newfoundland and Labrador,Associate degree,4
36,Male,Newfoundland and Labrador,Master's degree,1
36,Male,Nova Scotia,Associate degree,5
36,Male,Nova Scotia,Bachelor's degree,3
36,Male,Nova Scotia,High school diploma,2
36,Male,Ontario,Associate degree,19
36,Male,Ontario,Bachelor's degree,6
36,Male,Ontario,High school diploma,7
36,Male,Ontario,Master's degree,3
36,Male,Ontario,No high school diploma,2
36,Male,Prince Edward Island,Associate degree,2
36,Male,Prince Edward Island,High school diploma,1
36,Male,Quebec,Associate degree,13
36,Male,Quebec,Bachelor's degree,5
36,Male,Quebec,High school diploma,8
36,Male,Quebec,Master's degree,6
36,Male,Quebec,No high school diploma,1
36,Male,Saskatchewan,Associate degree,5
36,Male,Saskatchewan,Bachelor's degree,7
36,Male,Saskatchewan,High school diploma,2
36,Male,Saskatchewan,Master's degree,1
36,Male,Saskatchewan,No high school diploma,1
37,Female,Alberta,Associate degree,10
37,Female,Alberta,Bachelor's degree,9
37,Female,Alberta,High school diploma,6
37,Female,Alberta,Master's degree,2
37,Female,Alberta,No high school diploma,1
37,Female,British Columbia,Associate degree,2
37,Female,British Columbia,Bachelor's degree,3
37,Female,British Columbia,High school diploma,2
37,Female,British Columbia,Master's degree,6
37,Female,British Columbia,No high school diploma,1
37,Female,Manitoba,Associate degree,3
37,Female,Manitoba,High school diploma,2
37,Female,Manitoba,Master's degree,1
37,Female,New Brunswick,Associate degree,4
37,Female,New Brunswick,Bachelor's degree,2
37,Female,New Brunswick,High school diploma,1
37,Female,Newfoundland and Labrador,Associate degree,4
37,Female,Newfoundland and Labrador,Bachelor's degree,4
37,Female,Newfoundland and Labrador,Master's degree,1
37,Female,Nova Scotia,Associate degree,5
37,Female,Nova Scotia,Bachelor's degree,5
37,Female,Nova Scotia,High school diploma,3
37,Female,Nova Scotia,Master's degree,2
37,Female,Ontario,Associate degree,25
37,Female,Ontario,Bachelor's degree,18
37,Female,Ontario,High school diploma,2
37,Female,Ontario,Master's degree,6
37,Female,Ontario,No high school diploma,1
37,Female,Prince Edward Island,Associate degree,5
37,Female,Prince Edward Island,Bachelor's degree,1
37,Female,Quebec,Associate degree,21
37,Female,Quebec,Bachelor's degree,6
37,Female,Quebec,High school diploma,2
37,Female,Quebec,Master's degree,7
37,Female,Quebec,No high school diploma,1
37,Female,Saskatchewan,Associate degree,5
37,Female,Saskatchewan,Bachelor's degree,2
37,Female,Saskatchewan,High school diploma,3
37,Male,Alberta,Associate degree,6
37,Male,Alberta,Bachelor's degree,2
37,Male,Alberta,Master's degree,3
37,Male,British Columbia,Associate degree,4
37,Male,British Columbia,Bachelor's degree,10
37,Male,British Columbia,High school diploma,5
37,Male,British Columbia,Master's degree,1
37,Male,Manitoba,Associate degree,2
37,Male,Manitoba,Bachelor's degree,3
37,Male,Manitoba,High school diploma,1
37,Male,Manitoba,Master's degree,1
37,Male,New Brunswick,Associate degree,5
37,Male,New Brunswick,Bachelor's degree,2
37,Male,Newfoundland and Labrador,Associate degree,4
37,Male,Newfoundland and Labrador,High school diploma,2
37,Male,Nova Scotia,Associate degree,3
37,Male,Nova Scotia,Bachelor's degree,7
37,Male,Nova Scotia,High school diploma,7
37,Male,Nova Scotia,Master's degree,2
37,Male,Nova Scotia,No high school diploma,1
37,Male,Ontario,Associate degree,14
37,Male,Ontario,Bachelor's degree,6
37,Male,Ontario,High school diploma,7
37,Male,Ontario,Master's degree,8
37,Male,Ontario,No high school diploma,2
37,Male,Prince Edward Island,Associate degree,2
37,Male,Prince Edward Island,Master's degree,3
37,Male,Quebec,Associate degree,21
37,Male,Quebec,Bachelor's degree,8
37,Male,Quebec,High school diploma,4
37,Male,Quebec,Master's degree,6
37,Male,Quebec,No high school diploma,1
37,Male,Saskatchewan,Associate degree,3
37,Male,Saskatchewan,Bachelor's degree,1
37,Male,Saskatchewan,High school diploma,1
37,Male,Saskatchewan,Master's degree,1
38,Female,Alberta,Associate degree,8
38,Female,Alberta,Bachelor's degree,5
38,Female,Alberta,High school diploma,5
38,Female,Alberta,Master's degree,2
38,Female,Alberta,No high school diploma,1
38,Female,British Columbia,Associate degree,6
38,Female,British Columbia,Bachelor's degree,5
38,Female,British Columbia,High school diploma,1
38,Female,British Columbia,Master's degree,1
38,Female,British Columbia,No high school diploma,2
38,Female,Manitoba,Bachelor's degree,2
38,Female,New Brunswick,Associate degree,6
38,Female,Newfoundland and Labrador,Associate degree,4
38,Female,Newfoundland and Labrador,Bachelor's degree,2
38,Female,Newfoundland and Labrador,High school diploma,1
38,Female,Newfoundland and Labrador,No high school diploma,1
38,Female,Nova Scotia,Associate degree,7
38,Female,Nova Scotia,Bachelor's degree,4
38,Female,Nova Scotia,High school diploma,3
38,Female,Nova Scotia,Master's degree,5
38,Female,Ontario,Associate degree,17
38,Female,Ontario,Bachelor's degree,14
38,Female,Ontario,High school diploma,12
38,Female,Ontario,Master's degree,7
38,Female,Ontario,No high school diploma,1
38,Female,Prince Edward Island,Associate degree,3
38,Female,Prince Edward Island,Bachelor's degree,1
38,Female,Prince Edward Island,High school diploma,2
38,Female,Quebec,Associate degree,9
38,Female,Quebec,Bachelor's degree,7
38,Female,Quebec,High school diploma,3
38,Female,Quebec,Master's degree,10
38,Female,Quebec,No high school diploma,4
38,Female,Saskatchewan,Associate degree,3
38,Female,Saskatchewan,Bachelor's degree,3
38,Female,Saskatchewan,High school diploma,2
38,Male,Alberta,Associate degree,7
38,Male,Alberta,Bachelor's degree,5
38,Male,Alberta,High school diploma,4
38,Male,Alberta,Master's degree,4
38,Male,British Columbia,Associate degree,7
38,Male,British Columbia,High school diploma,3
38,Male,British Columbia,Master's degree,2
38,Male,Manitoba,Associate degree,3
38,Male,Manitoba,Bachelor's degree,1
38,Male,Manitoba,High school diploma,2
38,Male,New Brunswick,Associate degree,7
38,Male,New Brunswick,Bachelor's degree,3
38,Male,New Brunswick,High school diploma,1
38,Male,New Brunswick,No high school diploma,1
38,Male,Newfoundland and Labrador,Associate degree,3
38,Male,Newfoundland and Labrador,Bachelor's degree,1
38,Male,Newfoundland and Labrador,High school diploma,1
38,Male,Newfoundland and Labrador,No high school diploma,1
38,Male,Nova Scotia,Associate degree,2
38,Male,Nova Scotia,Bachelor's degree,2
38,Male,Nova Scotia,High school diploma,1
38,Male,Nova Scotia,Master's degree,1
38,Male,Ontario,Associate degree,17
38,Male,Ontario,Bachelor's degree,10
38,Male,Ontario,High school diploma,6
38,Male,Ontario,Master's degree,6
38,Male,Prince Edward Island,Bachelor's degree,1
38,Male,Prince Edward Island,High school diploma,2
38,Male,Prince Edward Island,Master's degree,1
38,Male,Quebec,Associate degree,16
38,Male,Quebec,Bachelor's degree,7
38,Male,Quebec,High school diploma,6
38,Male,Quebec,Master's degree,4
38,Male,Quebec,No high school diploma,5
38,Male,Saskatchewan,Associate degree,2
38,Male,Saskatchewan,Bachelor's degree,1
38,Male,Saskatchewan,High school diploma,4
39,Female,Alberta,Associate degree,4
39,Female,Alberta,Bachelor's degree,6
39,Female,Alberta,High school diploma,5
39,Female,Alberta,Master's degree,2
39,Female,British Columbia,Associate degree,3
39,Female,British Columbia,Bachelor's degree,6
39,Female,British Columbia,High school diploma,2
39,Female,British Columbia,Master's degree,5
39,Female,British Columbia,No high school diploma,1
39,Female,Manitoba,Associate degree,3
39,Female,Manitoba,Bachelor's degree,1
39,Female,Manitoba,High school diploma,2
39,Female,Manitoba,Master's degree,1
39,Female,New Brunswick,Associate degree,2
39,Female,New Brunswick,Bachelor's degree,2
39,Female,New Brunswick,High school diploma,1
39,Female,New Brunswick,Master's degree,2
39,Female,Newfoundland and Labrador,Associate degree,6
39,Female,Newfoundland and Labrador,Bachelor's degree,3
39,Female,Newfoundland and Labrador,Master's degree,1
39,Female,Nova Scotia,Associate degree,3
39,Female,Nova Scotia,High school diploma,1
39,Female,Nova Scotia,Master's degree,2
39,Female,Ontario,Associate degree,10
39,Female,Ontario,Bachelor's degree,20
39,Female,Ontario,High school diploma,3
39,Female,Ontario,Master's degree,14
39,Female,Ontario,No high school diploma,1
39,Female,Prince Edward Island,Associate degree,3
39,Female,Prince Edward Island,Bachelor's degree,1
39,Female,Prince Edward Island,Master's degree,1
39,Female,Quebec,Associate degree,12
39,Female,Quebec,Bachelor's degree,12
39,Female,Quebec,High school diploma,6
39,Female,Quebec,Master's degree,5
39,Female,Quebec,No high school diploma,1
39,Female,Saskatchewan,Bachelor's degree,7
39,Female,Saskatchewan,High school diploma,2
39,Female,Saskatchewan,Master's degree,1
39,Male,Alberta,Associate degree,6
39,Male,Alberta,Bachelor's degree,5
39,Male,Alberta,High school diploma,3
39,Male,Alberta,No high school diploma,2
39,Male,British Columbia,Associate degree,8
39,Male,British Columbia,Bachelor's degree,3
39,Male,British Columbia,High school diploma,2
39,Male,British Columbia,Master's degree,2
39,Male,Manitoba,Associate degree,2
39,Male,Manitoba,Bachelor's degree,3
39,Male,Manitoba,High school diploma,1
39,Male,Manitoba,No high school diploma,1
39,Male,New Brunswick,Associate degree,2
39,Male,New Brunswick,Bachelor's degree,2
39,Male,New Brunswick,Master's degree,2
39,Male,Newfoundland and Labrador,Associate degree,4
39,Male,Newfoundland and Labrador,Bachelor's degree,4
39,Male,Newfoundland and Labrador,High school diploma,2
39,Male,Nova Scotia,Associate degree,3
39,Male,Nova Scotia,Bachelor's degree,3
39,Male,Nova Scotia,High school diploma,3
39,Male,Nova Scotia,Master's degree,1
39,Male,Nova Scotia,No high school diploma,1
39,Male,Ontario,Associate degree,8
39,Male,Ontario,Bachelor's degree,11
39,Male,Ontario,High school diploma,5
39,Male,Ontario,Master's degree,8
39,Male,Ontario,No high school diploma,1
39,Male,Prince Edward Island,Associate degree,6
39,Male,Quebec,Associate degree,16
39,Male,Quebec,Bachelor's degree,7
39,Male,Quebec,High school diploma,5
39,Male,Quebec,Master's degree,4
39,Male,Quebec,No high school diploma,1
39,Male,Saskatchewan,Associate degree,4
39,Male,Saskatchewan,Bachelor's degree,3
39,Male,Saskatchewan,High school diploma,3
39,Male,Saskatchewan,Master's degree,1
40,Female,Alberta,Associate degree,7
40,Female,Alberta,Bachelor's degree,3
40,Female,Alberta,High school diploma,3
40,Female,Alberta,Master's degree,2
40,Female,British Columbia,Associate degree,6
40,Female,British Columbia,Bachelor's degree,7
40,Female,British Columbia,High school diploma,4
40,Female,British Columbia,No high school diploma,2
40,Female,Manitoba,Associate degree,4
40,Female,Manitoba,Bachelor's degree,4
40,Female,Manitoba,High school diploma,2
40,Female,Manitoba,Master's degree,1
40,Female,New Brunswick,Associate degree,3
40,Female,New Brunswick,Bachelor's degree,4
40,Female,New Brunswick,High school diploma,2
40,Female,Newfoundland and Labrador,Associate degree,4
40,Female,Newfoundland and Labrador,High school diploma,1
40,Female,Newfoundland and Labrador,Master's degree,1
40,Female,Nova Scotia,Associate degree,5
40,Female,Nova Scotia,Bachelor's degree,2
40,Female,Nova Scotia,High school diploma,2
40,Female,Nova Scotia,Master's degree,3
40,Female,Ontario,Associate degree,21
40,Female,Ontario,Bachelor's degree,11
40,Female,Ontario,High school diploma,4
40,Female,Ontario,Master's degree,7
40,Female,Ontario,No high school diploma,4
40,Female,Prince Edward Island,Associate degree,2
40,Female,Prince Edward Island,Bachelor's degree,2
40,Female,Prince Edward Island,High school diploma,3
40,Female,Prince Edward Island,Master's degree,2
40,Female,Quebec,Associate degree,15
40,Female,Quebec,Bachelor's degree,10
40,Female,Quebec,High school diploma,5
40,Female,Quebec,Master's degree,4
40,Female,Quebec,No high school diploma,1
40,Female,Saskatchewan,Associate degree,5
40,Female,Saskatchewan,Bachelor's degree,4
40,Female,Saskatchewan,High school diploma,2
40,Female,Saskatchewan,Master's degree,1
40,Male,Alberta,Associate degree,5
40,Male,Alberta,Bachelor's degree,3
40,Male,Alberta,High school diploma,2
40,Male,Alberta,Master's degree,4
40,Male,Alberta,No high school diploma,1
40,Male,British Columbia,Associate degree,10
40,Male,British Columbia,Bachelor's degree,2
40,Male,British Columbia,High school diploma,2
40,Male,British Columbia,Master's degree,2
40,Male,British Columbia,No high school diploma,2
40,Male,Manitoba,Associate degree,7
40,Male,Manitoba,High school diploma,1
40,Male,New Brunswick,Associate degree,4
40,Male,New Brunswick,Bachelor's degree,3
40,Male,New Brunswick,High school diploma,3
40,Male,New Brunswick,Master's degree,3
40,Male,New Brunswick,No high school diploma,1
40,Male,Newfoundland and Labrador,Associate degree,4
40,Male,Newfoundland and Labrador,Bachelor's degree,1
40,Male,Newfoundland and Labrador,High school diploma,1
40,Male,Nova Scotia,Associate degree,2
40,Male,Nova Scotia,Bachelor's degree,2
40,Male,Nova Scotia,High school diploma,1
40,Male,Nova Scotia,Master's degree,3
40,Male,Ontario,Associate degree,13
40,Male,Ontario,Bachelor's degree,10
40,Male,Ontario,High school diploma,5
40,Male,Ontario,Master's degree,3
40,Male,Ontario,No high school diploma,4
40,Male,Prince Edward Island,Associate degree,2
40,Male,Quebec,Associate degree,17
40,Male,Quebec,Bachelor's degree,7
40,Male,Quebec,High school diploma,2
40,Male,Quebec,Master's degree,3
40,Male,Quebec,No high school diploma,3
40,Male,Saskatchewan,Associate degree,3
40,Male,Saskatchewan,High school diploma,3
40,Male,Saskatchewan,Master's degree,1
40,Male,Saskatchewan,No high school diploma,1
41,Female,Alberta,Associate degree,3
41,Female,Alberta,High school diploma,2
41,Female,Alberta,Master's degree,2
41,Female,British Columbia,Associate degree,8
41,Female,British Columbia,Bachelor's degree,4
41,Female,British Columbia,High school diploma,5
41,Female,British Columbia,Master's degree,4
41,Female,Manitoba,Associate degree,3
41,Female,Manitoba,Bachelor's degree,2
41,Female,Manitoba,High school diploma,4
41,Female,Manitoba,Master's degree,3
41,Female,New Brunswick,Associate degree,8
41,Female,New Brunswick,Bachelor's degree,2
41,Female,New Brunswick,High school diploma,3
41,Female,New Brunswick,Master's degree,1
41,Female,Newfoundland and Labrador,Associate degree,2
41,Female,Newfoundland and Labrador,Bachelor's degree,1
41,Female,Newfoundland and Labrador,High school diploma,1
41,Female,Newfoundland and Labrador,Master's degree,1
41,Female,Newfoundland and Labrador,No high school diploma,1
41,Female,Nova Scotia,Associate degree,2
41,Female,Nova Scotia,Bachelor's degree,3
41,Female,Nova Scotia,High school diploma,3
41,Female,Nova Scotia,Master's degree,1
41,Female,Ontario,Associate degree,15
41,Female,Ontario,Bachelor's degree,17
41,Female,Ontario,High school diploma,7
41,Female,Ontario,Master's degree,10
41,Female,Prince Edward Island,Associate degree,2
41,Female,Prince Edward Island,High school diploma,1
41,Female,Quebec,Associate degree,21
41,Female,Quebec,Bachelor's degree,7
41,Female,Quebec,High school diploma,1
41,Female,Quebec,Master's degree,5
41,Female,Quebec,No high school diploma,1
41,Female,Saskatchewan,Associate degree,3
41,Female,Saskatchewan,Master's degree,1
41,Male,Alberta,Associate degree,2
41,Male,Alberta,Bachelor's degree,2
41,Male,Alberta,High school diploma,3
41,Male,Alberta,Master's degree,1
41,Male,Alberta,No high school diploma,1
41,Male,British Columbia,Associate degree,7
41,Male,British Columbia,Bachelor's degree,6
41,Male,British Columbia,High school diploma,3
41,Male,British Columbia,Master's degree,2
41,Male,British Columbia,No high school diploma,1
41,Male,Manitoba,Associate degree,2
41,Male,Manitoba,Bachelor's degree,2
41,Male,Manitoba,High school diploma,3
41,Male,New Brunswick,Associate degree,1
41,Male,New Brunswick,Bachelor's degree,2
41,Male,Newfoundland and Labrador,Associate degree,5
41,Male,Nova Scotia,Associate degree,4
41,Male,Nova Scotia,Bachelor's degree,2
41,Male,Nova Scotia,High school diploma,2
41,Male,Ontario,Associate degree,16
41,Male,Ontario,Bachelor's degree,13
41,Male,Ontario,High school diploma,10
41,Male,Ontario,Master's degree,9
41,Male,Ontario,No high school diploma,1
41,Male,Prince Edward Island,Bachelor's degree,3
41,Male,Prince Edward Island,High school diploma,1
41,Male,Quebec,Associate degree,14
41,Male,Quebec,Bachelor's degree,3
41,Male,Quebec,High school diploma,8
41,Male,Quebec,Master's degree,1
41,Male,Quebec,No high school diploma,2
41,Male,Saskatchewan,Associate degree,3
41,Male,Saskatchewan,High school diploma,3
41,Male,Saskatchewan,Master's degree,1
41,Male,Saskatchewan,No high school diploma,1
42,Female,Alberta,Associate degree,4
42,Female,Alberta,Bachelor's degree,7
42,Female,Alberta,High school diploma,3
42,Female,British Columbia,Associate degree,8
42,Female,British Columbia,Bachelor's degree,8
42,Female,British Columbia,Master's degree,2
42,Female,Manitoba,Associate degree,4
42,Female,Manitoba,Bachelor's degree,3
42,Female,Manitoba,High school diploma,1
42,Female,Manitoba,No high school diploma,1
42,Female,New Brunswick,Associate degree,5
42,Female,New Brunswick,Bachelor's degree,5
42,Female,New Brunswick,High school diploma,3
42,Female,New Brunswick,Master's degree,2
42,Female,Newfoundland and Labrador,Associate degree,1
42,Female,Newfoundland and Labrador,Bachelor's degree,2
42,Female,Newfoundland and Labrador,High school diploma,1
42,Female,Nova Scotia,Associate degree,1
42,Female,Nova Scotia,Bachelor's degree,3
42,Female,Nova Scotia,High school diploma,1
42,Female,Nova Scotia,Master's degree,2
42,Female,Ontario,Associate degree,19
42,Female,Ontario,Bachelor's degree,16
42,Female,Ontario,High school diploma,6
42,Female,Ontario,Master's degree,9
42,Female,Ontario,No high school diploma,2
42,Female,Prince Edward Island,Associate degree,3
42,Female,Prince Edward Island,Bachelor's degree,2
42,Female,Prince Edward Island,Master's degree,1
42,Female,Quebec,Associate degree,16
42,Female,Quebec,Bachelor's degree,16
42,Female,Quebec,High school diploma,1
42,Female,Quebec,No high school diploma,1
42,Female,Saskatchewan,Associate degree,2
42,Female,Saskatchewan,Bachelor's degree,1
42,Female,Saskatchewan,High school diploma,1
42,Male,Alberta,Associate degree,4
42,Male,Alberta,Bachelor's degree,4
42,Male,Alberta,Master's degree,4
42,Male,British Columbia,Associate degree,8
42,Male,British Columbia,Bachelor's degree,4
42,Male,British Columbia,High school diploma,4
42,Male,British Columbia,No high school diploma,1
42,Male,Manitoba,Associate degree,4
42,Male,Manitoba,Bachelor's degree,2
42,Male,Manitoba,High school diploma,2
42,Male,Manitoba,No high school diploma,1
42,Male,New Brunswick,Associate degree,5
42,Male,New Brunswick,Bachelor's degree,1
42,Male,New Brunswick,High school diploma,1
42,Male,New Brunswick,No high school diploma,2
42,Male,Newfoundland and Labrador,Associate degree,7
42,Male,Newfoundland and Labrador,Master's degree,2
42,Male,Newfoundland and Labrador,No high school diploma,1
42,Male,Nova Scotia,Associate degree,3
42,Male,Nova Scotia,Bachelor's degree,2
42,Male,Nova Scotia,High school diploma,2
42,Male,Ontario,Associate degree,9
42,Male,Ontario,Bachelor's degree,19
42,Male,Ontario,High school diploma,7
42,Male,Ontario,Master's degree,5
42,Male,Ontario,No high school diploma,1
42,Male,Prince Edward Island,Master's degree,1
42,Male,Quebec,Associate degree,10
42,Male,Quebec,Bachelor's degree,4
42,Male,Quebec,High school diploma,4
42,Male,Quebec,Master's degree,4
42,Male,Quebec,No high school diploma,2
42,Male,Saskatchewan,Associate degree,4
42,Male,Saskatchewan,High school diploma,2
42,Male,Saskatchewan,Master's degree,1
43,Female,Alberta,Associate degree,5
43,Female,Alberta,Bachelor's degree,1
43,Female,Alberta,High school diploma,4
43,Female,Alberta,Master's degree,2
43,Female,British Columbia,Associate degree,3
43,Female,British Columbia,Bachelor's degree,8
43,Female,British Columbia,High school diploma,3
43,Female,British Columbia,Master's degree,2
43,Female,Manitoba,Associate degree,4
43,Female,Manitoba,Bachelor's degree,2
43,Female,Manitoba,High school diploma,1
43,Female,Manitoba,Master's degree,1
43,Female,New Brunswick,Associate degree,5
43,Female,New Brunswick,Bachelor's degree,4
43,Female,New Brunswick,Master's degree,4
43,Female,Newfoundland and Labrador,Associate degree,3
43,Female,Newfoundland and Labrador,Bachelor's degree,4
43,Female,Newfoundland and Labrador,High school diploma,3
43,Female,Nova Scotia,Associate degree,7
43,Female,Nova Scotia,Bachelor's degree,2
43,Female,Nova Scotia,High school diploma,2
43,Female,Nova Scotia,Master's degree,2
43,Female,Ontario,Associate degree,12
43,Female,Ontario,Bachelor's degree,12
43,Female,Ontario,High school diploma,4
43,Female,Ontario,Master's degree,9
43,Female,Ontario,No high school diploma,3
43,Female,Prince Edward Island,Associate degree,3
43,Female,Prince Edward Island,Bachelor's degree,1
43,Female,Prince Edward Island,Master's degree,2
43,Female,Quebec,Associate degree,16
43,Female,Quebec,Bachelor's degree,8
43,Female,Quebec,High school diploma,4
43,Female,Quebec,Master's degree,4
43,Female,Quebec,No high school diploma,3
43,Female,Saskatchewan,Associate degree,5
43,Female,Saskatchewan,Bachelor's degree,5
43,Female,Saskatchewan,Master's degree,1
43,Male,Alberta,Associate degree,2
43,Male,Alberta,Bachelor's degree,2
43,Male,Alberta,High school diploma,5
43,Male,Alberta,Master's degree,2
43,Male,British Columbia,Bachelor's degree,1
43,Male,British Columbia,High school diploma,5
43,Male,British Columbia,Master's degree,3
43,Male,Manitoba,Associate degree,1
43,Male,Manitoba,Bachelor's degree,3
43,Male,Manitoba,High school diploma,2
43,Male,Manitoba,No high school diploma,1
43,Male,New Brunswick,Associate degree,4
43,Male,New Brunswick,Bachelor's degree,1
43,Male,New Brunswick,High school diploma,2
43,Male,New Brunswick,Master's degree,1
43,Male,New Brunswick,No high school diploma,1
43,Male,Newfoundland and Labrador,Associate degree,3
43,Male,Newfoundland and Labrador,High school diploma,5
43,Male,Newfoundland and Labrador,Master's degree,2
43,Male,Newfoundland and Labrador,No high school diploma,1
43,Male,Nova Scotia,Associate degree,5
43,Male,Nova Scotia,Bachelor's degree,4
43,Male,Nova Scotia,High school diploma,2
43,Male,Nova Scotia,Master's degree,2
43,Male,Nova Scotia,No high school diploma,1
43,Male,Ontario,Associate degree,12
43,Male,Ontario,Bachelor's degree,11
43,Male,Ontario,High school diploma,5
43,Male,Ontario,Master's degree,4
43,Male,Ontario,No high school diploma,1
43,Male,Prince Edward Island,Associate degree,1
43,Male,Prince Edward Island,Bachelor's degree,1
43,Male,Prince Edward Island,High school diploma,1
43,Male,Quebec,Associate degree,13
43,Male,Quebec,Bachelor's degree,8
43,Male,Quebec,High school diploma,1
43,Male,Quebec,Master's degree,2
43,Male,Quebec,No high school diploma,3
43,Male,Saskatchewan,Associate degree,4
43,Male,Saskatchewan,High school diploma,3
43,Male,Saskatchewan,Master's degree,1
43,Male,Saskatchewan,No high school diploma,1
44,Female,Alberta,Associate degree,4
44,Female,Alberta,Bachelor's degree,4
44,Female,Alberta,Master's degree,3
44,Female,British Columbia,Associate degree,9
44,Female,British Columbia,Bachelor's degree,8
44,Female,British Columbia,Master's degree,3
44,Female,British Columbia,No high school diploma,2
44,Female,Manitoba,Associate degree,3
44,Female,Manitoba,Bachelor's degree,2
44,Female,Manitoba,High school diploma,3
44,Female,Manitoba,No high school diploma,2
44,Female,New Brunswick,Associate degree,3
44,Female,New Brunswick,Bachelor's degree,5
44,Female,New Brunswick,High school diploma,1
44,Female,Newfoundland and Labrador,Associate degree,2
44,Female,Newfoundland and Labrador,High school diploma,2
44,Female,Nova Scotia,Associate degree,3
44,Female,Nova Scotia,Bachelor's degree,7
44,Female,Nova Scotia,High school diploma,3
44,Female,Nova Scotia,Master's degree,1
44,Female,Ontario,Associate degree,13
44,Female,Ontario,Bachelor's degree,19
44,Female,Ontario,High school diploma,7
44,Female,Ontario,Master's degree,12
44,Female,Ontario,No high school diploma,3
44,Female,Prince Edward Island,Associate degree,3
44,Female,Prince Edward Island,Master's degree,1
44,Female,Quebec,Associate degree,8
44,Female,Quebec,Bachelor's degree,10
44,Female,Quebec,High school diploma,1
44,Female,Quebec,Master's degree,4
44,Female,Quebec,No high school diploma,2
44,Female,Saskatchewan,Associate degree,1
44,Female,Saskatchewan,High school diploma,1
44,Male,Alberta,Associate degree,6
44,Male,Alberta,Bachelor's degree,3
44,Male,Alberta,High school diploma,4
44,Male,Alberta,Master's degree,3
44,Male,British Columbia,Associate degree,6
44,Male,British Columbia,Bachelor's degree,5
44,Male,British Columbia,High school diploma,3
44,Male,British Columbia,Master's degree,3
44,Male,Manitoba,Associate degree,6
44,Male,Manitoba,Bachelor's degree,2
44,Male,Manitoba,High school diploma,2
44,Male,Manitoba,Master's degree,1
44,Male,New Brunswick,Associate degree,4
44,Male,New Brunswick,Bachelor's degree,2
44,Male,New Brunswick,High school diploma,2
44,Male,New Brunswick,Master's degree,1
44,Male,New Brunswick,No high school diploma,2
44,Male,Newfoundland and Labrador,Associate degree,1
44,Male,Newfoundland and Labrador,High school diploma,2
44,Male,Newfoundland and Labrador,No high school diploma,1
44,Male,Nova Scotia,Bachelor's degree,1
44,Male,Nova Scotia,High school diploma,5
44,Male,Ontario,Associate degree,12
44,Male,Ontario,Bachelor's degree,9
44,Male,Ontario,High school diploma,5
44,Male,Ontario,Master's degree,9
44,Male,Ontario,No high school diploma,1
44,Male,Prince Edward Island,Associate degree,2
44,Male,Prince Edward Island,Bachelor's degree,1
44,Male,Prince Edward Island,High school diploma,2
44,Male,Prince Edward Island,Master's degree,1
44,Male,Quebec,Associate degree,10
44,Male,Quebec,Bachelor's degree,8
44,Male,Quebec,High school diploma,5
44,Male,Quebec,Master's degree,5
44,Male,Saskatchewan,Associate degree,2
44,Male,Saskatchewan,Bachelor's degree,1
44,Male,Saskatchewan,High school diploma,1
44,Male,Saskatchewan,No high school diploma,1
45,Female,Alberta,Associate degree,1
45,Female,Alberta,Bachelor's degree,5
45,Female,Alberta,Master's degree,1
45,Female,British Columbia,Associate degree,9
45,Female,British Columbia,Bachelor's degree,3
