age,sex,province,education
34,Female,Quebec,Associate degree
39,Male,British Columbia,Bachelor's degree
68,Female,Saskatchewan,Associate degree
37,Female,Quebec,Associate degree
80,Female,Ontario,Associate degree
72,Female,New Brunswick,Master's degree
29,Male,Ontario,Bachelor's degree
47,Male,Manitoba,Associate degree
58,Female,Alberta,Associate degree
19,Female,British Columbia,High school diploma
80,Male,Newfoundland and Labrador,No high school diploma
70,Female,Quebec,No high school diploma
73,Female,Quebec,No high school diploma
68,Male,Newfoundland and Labrador,High school diploma
35,Male,Alberta,High school diploma
72,Male,Ontario,High school diploma
17,Female,Ontario,No high school diploma
80,Male,Quebec,Associate degree
31,Male,Ontario,Associate degree
16,Male,Newfoundland and Labrador,No high school diploma
80,Female,Ontario,No high school diploma
70,Male,Saskatchewan,High school diploma
23,Female,New Brunswick,Bachelor's degree
29,Female,Ontario,No high school diploma
73,Female,British Columbia,Associate degree
57,Female,Ontario,High school diploma
52,Female,New Brunswick,High school diploma
80,Female,New Brunswick,High school diploma
44,Male,New Brunswick,Bachelor's degree
80,Male,Alberta,Associate degree
29,Female,Quebec,High school diploma
64,Male,Ontario,High school diploma
59,Female,Newfoundland and Labrador,Bachelor's degree
68,Male,Ontario,Bachelor's degree
80,Female,Ontario,Associate degree
43,Female,Alberta,High school diploma
31,Female,Alberta,Bachelor's degree
45,Female,Ontario,Master's degree
24,Female,Ontario,Bachelor's degree
48,Male,New Brunswick,Associate degree
60,Female,Newfoundland and Labrador,High school diploma
80,Male,British Columbia,Bachelor's degree
20,Male,Nova Scotia,No high school diploma
69,Male,Saskatchewan,Associate degree
25,Female,Quebec,Bachelor's degree
32,Male,Ontario,Bachelor's degree
43,Female,Ontario,High school diploma
30,Male,Quebec,Associate degree
78,Male,Saskatchewan,High school diploma
66,Female,Quebec,Bachelor's degree
47,Female,Ontario,Associate degree
80,Female,Ontario,Associate degree
70,Male,British Columbia,Bachelor's degree
23,Male,Ontario,Associate degree
56,Female,Newfoundland and Labrador,Associate degree
70,Male,Ontario,Associate degree
60,Male,New Brunswick,Associate degree
42,Male,Ontario,High school diploma
36,Female,Quebec,Associate degree
53,Female,Ontario,High school diploma
54,Male,New Brunswick,Master's degree
75,Female,Newfoundland and Labrador,No high school diploma
39,Male,Ontario,Master's degree
27,Male,Quebec,No high school diploma
56,Female,Nova Scotia,High school diploma
54,Female,Alberta,Associate degree
22,Female,Ontario,Bachelor's degree
48,Female,Quebec,Associate degree
50,Female,Ontario,Associate degree
35,Male,Manitoba,Bachelor's degree
18,Male,New Brunswick,High school diploma
16,Male,Ontario,No high school diploma
18,Male,Quebec,High school diploma
57,Male,Ontario,Bachelor's degree
63,Female,Quebec,High school diploma
46,Male,Manitoba,Associate degree
80,Female,Ontario,Bachelor's degree
80,Female,Ontario,High school diploma
68,Male,Ontario,Associate degree
53,Male,British Columbia,Associate degree
45,Female,British Columbia,No high school diploma
66,Male,Quebec,Master's degree
39,Female,Alberta,Bachelor's degree
47,Female,Ontario,Associate degree
57,Female,Quebec,Associate degree
80,Female,New Brunswick,High school diploma
51,Female,Newfoundland and Labrador,Associate degree
64,Female,British Columbia,Master's degree
61,Male,Saskatchewan,Bachelor's degree
69,Male,Ontario,No high school diploma
74,Male,Ontario,Master's degree
44,Female,British Columbia,Master's degree
60,Male,Ontario,High school diploma
18,Female,Newfoundland and Labrador,No high school diploma
44,Female,Alberta,Associate degree
37,Male,Newfoundland and Labrador,High school diploma
77,Male,Saskatchewan,No high school diploma
67,Female,British Columbia,Bachelor's degree
42,Female,Ontario,High school diploma
43,Male,Quebec,Associate degree
35,Female,Manitoba,High school diploma
48,Male,British Columbia,Bachelor's degree
66,Male,Quebec,Bachelor's degree
29,Female,Ontario,Associate degree
30,Female,Quebec,Associate degree
49,Female,Saskatchewan,High school diploma
25,Male,British Columbia,Associate degree
56,Male,Quebec,Associate degree
80,Female,Saskatchewan,High school diploma
72,Female,Ontario,High school diploma
50,Male,Alberta,High school diploma
64,Female,Manitoba,No high school diploma
74,Female,Ontario,Associate degree
54,Male,Manitoba,No high school diploma
56,Male,Manitoba,High school diploma
77,Female,Ontario,Bachelor's degree
48,Female,Saskatchewan,High school diploma
55,Male,Ontario,No high school diploma
51,Female,Quebec,No high school diploma
34,Female,New Brunswick,High school diploma
74,Female,New Brunswick,Associate degree
49,Female,Quebec,Associate degree
80,Female,British Columbia,Bachelor's degree
28,Male,New Brunswick,High school diploma
52,Female,British Columbia,Master's degree
80,Male,Ontario,High school diploma
50,Male,Alberta,Associate degree
50,Female,British Columbia,Bachelor's degree
33,Male,Ontario,High school diploma
62,Male,New Brunswick,Associate degree
24,Male,Quebec,Associate degree
57,Female,Manitoba,High school diploma
43,Male,Ontario,Bachelor's degree
56,Male,Ontario,High school diploma
21,Female,Quebec,Associate degree
48,Male,Prince Edward Island,Bachelor's degree
62,Female,Prince Edward Island,Associate degree
52,Male,Newfoundland and Labrador,Associate degree
47,Female,British Columbia,High school diploma
27,Male,Newfoundland and Labrador,Associate degree
75,Male,Alberta,Associate degree
45,Female,New Brunswick,Associate degree
59,Male,Alberta,High school diploma
67,Male,Ontario,Associate degree
78,Male,British Columbia,High school diploma
69,Female,Quebec,Master's degree
33,Female,Manitoba,Associate degree
42,Male,Manitoba,Associate degree
28,Male,Quebec,Associate degree
37,Male,Quebec,Bachelor's degree
50,Female,New Brunswick,Associate degree
72,Male,Quebec,Bachelor's degree
22,Male,Nova Scotia,High school diploma
58,Male,Newfoundland and Labrador,Associate degree
46,Female,British Columbia,Associate degree
63,Male,Ontario,Associate degree
80,Female,Alberta,High school diploma
34,Male,Ontario,Associate degree
50,Male,Ontario,Associate degree
50,Female,Quebec,High school diploma
45,Female,Prince Edward Island,Master's degree
51,Female,Quebec,Associate degree
26,Male,Quebec,Master's degree
75,Male,Alberta,Master's degree
20,Male,Quebec,High school diploma
56,Male,Quebec,Associate degree
80,Male,Manitoba,High school diploma
20,Male,Quebec,No high school diploma
61,Female,Nova Scotia,Associate degree
56,Male,Saskatchewan,High school diploma
24,Female,Ontario,High school diploma
55,Female,Manitoba,Bachelor's degree
53,Female,Quebec,Associate degree
49,Male,Quebec,Associate degree
61,Female,Manitoba,Master's degree
26,Female,Ontario,Bachelor's degree
80,Female,Prince Edward Island,Bachelor's degree
61,Male,Ontario,High school diploma
67,Female,Quebec,Associate degree
69,Male,Ontario,High school diploma
75,Male,Ontario,Bachelor's degree
38,Male,Ontario,Master's degree
21,Female,Newfoundland and Labrador,High school diploma
34,Female,New Brunswick,Associate degree
37,Male,Quebec,Associate degree
56,Male,Quebec,High school diploma
56,Male,Ontario,Bachelor's degree
45,Male,Ontario,High school diploma
19,Male,British Columbia,High school diploma
65,Female,Quebec,Associate degree
20,Male,British Columbia,High school diploma
44,Female,Ontario,Bachelor's degree
45,Male,Quebec,Bachelor's degree
35,Female,Quebec,Master's degree
75,Male,British Columbia,Bachelor's degree
69,Male,Quebec,Associate degree
75,Female,Ontario,Associate degree
54,Female,Alberta,High school diploma
66,Female,Alberta,No high school diploma
31,Male,British Columbia,High school diploma
75,Female,Quebec,No high school diploma
69,Female,Manitoba,No high school diploma
61,Male,New Brunswick,High school diploma
52,Female,Saskatchewan,High school diploma
55,Female,Ontario,Associate degree
44,Female,Quebec,Associate degree
24,Female,British Columbia,High school diploma
27,Male,Ontario,High school diploma
52,Female,Quebec,High school diploma
18,Female,Ontario,No high school diploma
37,Female,Alberta,High school diploma
61,Male,Quebec,High school diploma
63,Male,Prince Edward Island,Bachelor's degree
53,Female,British Columbia,Bachelor's degree
59,Female,Manitoba,High school diploma
27,Female,Ontario,Associate degree
46,Male,Ontario,Bachelor's degree
40,Female,British Columbia,Associate degree
33,Female,Ontario,Bachelor's degree
68,Male,Manitoba,Associate degree
31,Male,Saskatchewan,High school diploma
61,Female,Quebec,Associate degree
60,Male,Ontario,Bachelor's degree
49,Female,Nova Scotia,High school diploma
64,Male,Saskatchewan,High school diploma
19,Female,Manitoba,Associate degree
36,Male,Newfoundland and Labrador,Associate degree
80,Female,Alberta,No high school diploma
66,Female,Quebec,Associate degree
45,Female,Quebec,Associate degree
60,Female,Quebec,Bachelor's degree
76,Female,Quebec,Associate degree
62,Female,Prince Edward Island,High school diploma
54,Male,Quebec,Associate degree
68,Female,Ontario,Bachelor's degree
19,Female,Nova Scotia,High school diploma
65,Female,Newfoundland and Labrador,No high school diploma
29,Female,Manitoba,High school diploma
32,Female,Manitoba,Bachelor's degree
37,Female,Ontario,High school diploma
66,Female,Ontario,Associate degree
58,Male,Alberta,High school diploma
80,Female,Quebec,No high school diploma
43,Male,Quebec,No high school diploma
16,Male,British Columbia,No high school diploma
73,Male,Newfoundland and Labrador,Associate degree
32,Female,British Columbia,Associate degree
34,Male,Manitoba,No high school diploma
42,Female,Ontario,No high school diploma
69,Male,Alberta,Associate degree
63,Female,Quebec,Associate degree
67,Male,Manitoba,Associate degree
48,Male,Alberta,Associate degree
49,Female,Ontario,High school diploma
80,Female,Manitoba,High school diploma
73,Female,Nova Scotia,Bachelor's degree
61,Female,Ontario,No high school diploma
64,Female,Ontario,No high school diploma
39,Female,British Columbia,Bachelor's degree
53,Male,British Columbia,High school diploma
72,Male,Ontario,High school diploma
35,Female,British Columbia,Associate degree
52,Female,British Columbia,Master's degree
38,Male,Alberta,Associate degree
35,Female,Ontario,Associate degree
75,Male,Manitoba,No high school diploma
43,Female,Manitoba,Associate degree
76,Male,Manitoba,Bachelor's degree
55,Male,Newfoundland and Labrador,No high school diploma
56,Female,Manitoba,High school diploma
37,Female,Alberta,High school diploma
40,Male,Ontario,No high school diploma
36,Male,Quebec,Master's degree
20,Female,British Columbia,High school diploma
80,Female,Quebec,No high school diploma
65,Female,Alberta,Associate degree
46,Female,Saskatchewan,Associate degree
36,Male,Saskatchewan,Associate degree
33,Male,Quebec,High school diploma
37,Male,British Columbia,Bachelor's degree
63,Female,Alberta,Bachelor's degree
30,Female,Prince Edward Island,High school diploma
65,Female,Quebec,Bachelor's degree
41,Female,Manitoba,High school diploma
80,Female,Quebec,No high school diploma
47,Male,Alberta,High school diploma
51,Female,British Columbia,Associate degree
48,Female,Manitoba,High school diploma
25,Female,Ontario,Bachelor's degree
20,Female,Ontario,High school diploma
36,Female,Quebec,Bachelor's degree
31,Male,Alberta,Associate degree
68,Female,Ontario,No high school diploma
50,Male,Quebec,Master's degree
58,Female,Quebec,High school diploma
59,Male,Ontario,Bachelor's degree
24,Female,Ontario,Bachelor's degree
41,Male,Ontario,Master's degree
50,Male,Ontario,Associate degree
17,Male,Alberta,No high school diploma
53,Female,Ontario,Associate degree
35,Female,New Brunswick,Associate degree
26,Female,Quebec,High school diploma
35,Female,Nova Scotia,High school diploma
73,Male,Quebec,No high school diploma
49,Female,Ontario,Associate degree
28,Male,Prince Edward Island,Bachelor's degree
43,Female,Quebec,Master's degree
20,Male,Ontario,High school diploma
65,Female,Quebec,Associate degree
53,Female,Quebec,Bachelor's degree
71,Female,Ontario,Associate degree
21,Female,British Columbia,High school diploma
35,Male,Quebec,Associate degree
57,Female,Prince Edward Island,Associate degree
61,Female,Saskatchewan,Associate degree
45,Male,Ontario,Master's degree
35,Female,Ontario,High school diploma
80,Male,Manitoba,Associate degree
62,Female,Ontario,High school diploma
62,Female,British Columbia,Associate degree
15,Male,Ontario,No high school diploma
48,Female,British Columbia,Associate degree
72,Female,Quebec,Associate degree
75,Female,Manitoba,High school diploma
56,Female,British Columbia,Associate degree
59,Female,Ontario,Associate degree
43,Female,Nova Scotia,Associate degree
55,Female,British Columbia,Associate degree
59,Female,British Columbia,Master's degree
65,Female,New Brunswick,Associate degree
67,Female,New Brunswick,Bachelor's degree
51,Male,Ontario,Associate degree
21,Female,New Brunswick,High school diploma
34,Female,Quebec,Bachelor's degree
37,Female,Ontario,Bachelor's degree
53,Male,Quebec,High school diploma
34,Female,British Columbia,Bachelor's degree
32,Male,Ontario,Associate degree
52,Male,Alberta,Bachelor's degree
63,Female,Ontario,High school diploma
67,Female,Ontario,Associate degree
61,Male,Ontario,Bachelor's degree
41,Female,New Brunswick,High school diploma
75,Male,Quebec,Bachelor's degree
67,Male,Manitoba,Associate degree
22,Female,Ontario,Associate degree
27,Female,Manitoba,Associate degree
63,Male,Ontario,No high school diploma
41,Female,British Columbia,Bachelor's degree
35,Female,Quebec,Master's degree
66,Female,Ontario,High school diploma
74,Male,British Columbia,No high school diploma
17,Female,Quebec,High school diploma
24,Male,New Brunswick,No high school diploma
27,Male,Alberta,Associate degree
80,Female,Prince Edward Island,No high school diploma
32,Female,Quebec,No high school diploma
61,Male,Manitoba,High school diploma
15,Female,New Brunswick,No high school diploma
37,Male,Nova Scotia,Bachelor's degree
80,Male,Newfoundland and Labrador,No high school diploma
71,Male,Ontario,No high school diploma
45,Female,British Columbia,High school diploma
21,Female,New Brunswick,High school diploma
80,Male,Saskatchewan,No high school diploma
63,Female,Ontario,High school diploma
58,Male,British Columbia,High school diploma
56,Male,Saskatchewan,Master's degree
18,Male,Nova Scotia,No high school diploma
72,Male,Alberta,No high school diploma
27,Male,Quebec,Associate degree
17,Male,Ontario,No high school diploma
68,Female,Quebec,High school diploma
72,Female,Saskatchewan,Associate degree
61,Female,Manitoba,Bachelor's degree
19,Male,Ontario,No high school diploma
52,Female,Ontario,Associate degree
77,Female,New Brunswick,High school diploma
72,Female,Ontario,Bachelor's degree
31,Male,Nova Scotia,High school diploma
30,Male,Quebec,Bachelor's degree
60,Female,Ontario,Bachelor's degree
72,Female,Quebec,No high school diploma
34,Female,Saskatchewan,Associate degree
26,Female,Quebec,Bachelor's degree
30,Female,Ontario,Associate degree
56,Female,Nova Scotia,Associate degree
80,Female,Newfoundland and Labrador,High school diploma
58,Female,Alberta,Bachelor's degree
32,Male,Ontario,Bachelor's degree
24,Female,Ontario,Associate degree
42,Female,Manitoba,Associate degree
29,Female,Ontario,Bachelor's degree
42,Male,Quebec,Associate degree
66,Female,Ontario,Associate degree
61,Male,British Columbia,High school diploma
69,Female,Ontario,Bachelor's degree
63,Female,Ontario,Master's degree
55,Female,Nova Scotia,Associate degree
46,Female,Ontario,Bachelor's degree
61,Female,British Columbia,Bachelor's degree
67,Male,Quebec,High school diploma
80,Male,Ontario,Master's degree
40,Male,British Columbia,Associate degree
16,Female,Prince Edward Island,No high school diploma
54,Male,Quebec,Associate degree
67,Male,Newfoundland and Labrador,Bachelor's degree
31,Female,Manitoba,Bachelor's degree
64,Female,Quebec,Associate degree
80,Female,British Columbia,No high school diploma
64,Female,Ontario,Associate degree
34,Male,British Columbia,Associate degree
80,Male,Saskatchewan,Master's degree
49,Female,Saskatchewan,Associate degree
43,Male,Quebec,Associate degree
56,Male,British Columbia,Associate degree
69,Male,New Brunswick,No high school diploma
57,Male,Newfoundland and Labrador,High school diploma
16,Male,Ontario,No high school diploma
43,Female,British Columbia,Bachelor's degree
40,Female,Ontario,Master's degree
54,Female,Manitoba,High school diploma
60,Male,Nova Scotia,Associate degree
77,Female,Ontario,High school diploma
25,Male,Newfoundland and Labrador,High school diploma
34,Female,New Brunswick,Associate degree
70,Male,British Columbia,High school diploma
35,Male,Ontario,Associate degree
52,Female,Manitoba,Bachelor's degree
40,Female,Ontario,Associate degree
55,Female,British Columbia,Bachelor's degree
58,Female,Ontario,High school diploma
55,Male,Ontario,High school diploma
39,Male,Ontario,Bachelor's degree
56,Male,Quebec,Associate degree
60,Male,Ontario,High school diploma
80,Female,Ontario,High school diploma
44,Female,Prince Edward Island,Master's degree
40,Female,Newfoundland and Labrador,Associate degree
52,Female,British Columbia,Bachelor's degree
41,Male,Ontario,Master's degree
29,Male,Nova Scotia,Bachelor's degree
49,Male,Newfoundland and Labrador,No high school diploma
77,Male,Ontario,High school diploma
26,Female,Newfoundland and Labrador,Bachelor's degree
22,Male,Ontario,Bachelor's degree
56,Male,British Columbia,Associate degree
63,Female,Saskatchewan,Associate degree
80,Female,Nova Scotia,High school diploma
42,Female,Quebec,Associate degree
39,Male,Prince Edward Island,Associate degree
65,Female,Nova Scotia,No high school diploma
27,Male,New Brunswick,Bachelor's degree
30,Female,Nova Scotia,Associate degree
47,Female,Ontario,Bachelor's degree
53,Female,Saskatchewan,No high school diploma
76,Male,Manitoba,No high school diploma
64,Female,Nova Scotia,Associate degree
32,Male,British Columbia,Associate degree
62,Male,Ontario,No high school diploma
21,Male,Ontario,Associate degree
37,Male,Quebec,High school diploma
51,Female,Ontario,Bachelor's degree
37,Male,Ontario,Master's degree
21,Male,Ontario,High school diploma
62,Female,British Columbia,Associate degree
64,Male,Ontario,Associate degree
61,Female,Quebec,Bachelor's degree
29,Female,Alberta,Bachelor's degree
44,Male,British Columbia,Associate degree
71,Male,New Brunswick,Bachelor's degree
32,Male,Saskatchewan,Associate degree
52,Female,Ontario,Master's degree
50,Female,British Columbia,Associate degree
46,Female,Prince Edward Island,Bachelor's degree
40,Female,Ontario,Master's degree
70,Female,Ontario,Bachelor's degree
56,Female,Nova Scotia,High school diploma
68,Female,New Brunswick,High school diploma
71,Female,Ontario,Bachelor's degree
66,Male,Ontario,Master's degree
80,Male,Ontario,Associate degree
62,Female,Ontario,Associate degree
69,Female,Alberta,No high school diploma
38,Female,New Brunswick,Associate degree
69,Male,Ontario,High school diploma
37,Male,Nova Scotia,Bachelor's degree
38,Female,Saskatchewan,High school diploma
80,Female,Manitoba,No high school diploma
59,Female,Nova Scotia,High school diploma
75,Female,Quebec,High school diploma
24,Female,Ontario,High school diploma
58,Female,Quebec,High school diploma
18,Female,Quebec,High school diploma
57,Female,Alberta,Associate degree
46,Female,British Columbia,High school diploma
59,Male,Quebec,Master's degree
80,Female,Ontario,No high school diploma
31,Female,Saskatchewan,Associate degree
38,Female,Newfoundland and Labrador,High school diploma
66,Male,Ontario,No high school diploma
65,Female,Manitoba,Associate degree
61,Female,Quebec,Associate degree
50,Male,Nova Scotia,Bachelor's degree
45,Male,Ontario,Bachelor's degree
71,Male,Ontario,Bachelor's degree
51,Male,British Columbia,High school diploma
54,Male,Nova Scotia,High school diploma
52,Female,British Columbia,Associate degree
41,Male,Quebec,No high school diploma
46,Male,Ontario,Associate degree
70,Female,Prince Edward Island,High school diploma
42,Female,Alberta,Bachelor's degree
55,Female,Alberta,Associate degree
41,Male,Ontario,High school diploma
42,Male,Quebec,Associate degree
31,Male,Saskatchewan,Associate degree
23,Female,Nova Scotia,Bachelor's degree
32,Female,British Columbia,Bachelor's degree
49,Male,Quebec,Bachelor's degree
36,Female,British Columbia,Master's degree
45,Male,Ontario,High school diploma
54,Male,New Brunswick,Associate degree
17,Female,Ontario,No high school diploma
37,Female,Ontario,Bachelor's degree
79,Female,Quebec,No high school diploma
42,Female,New Brunswick,Master's degree
35,Female,Ontario,Bachelor's degree
58,Male,Nova Scotia,No high school diploma
49,Male,Quebec,Associate degree
27,Female,Quebec,Associate degree
65,Male,Prince Edward Island,High school diploma
57,Female,British Columbia,Associate degree
68,Male,Ontario,High school diploma
39,Female,Quebec,Master's degree
56,Female,Newfoundland and Labrador,No high school diploma
26,Male,Nova Scotia,Bachelor's degree
80,Male,Alberta,No high school diploma
47,Male,Quebec,Bachelor's degree
21,Female,Ontario,Associate degree
28,Female,Ontario,High school diploma
26,Male,Nova Scotia,High school diploma
33,Female,Alberta,High school diploma
29,Male,Saskatchewan,Bachelor's degree
63,Female,Ontario,High school diploma
64,Female,Prince Edward Island,Associate degree
54,Male,Newfoundland and Labrador,Associate degree
54,Female,Ontario,No high school diploma
79,Male,Nova Scotia,No high school diploma
67,Male,Quebec,High school diploma
76,Female,Quebec,No high school diploma
69,Female,Ontario,Bachelor's degree
42,Male,Nova Scotia,Bachelor's degree
46,Female,Saskatchewan,Bachelor's degree
42,Female,Ontario,Associate degree
21,Female,Quebec,Bachelor's degree
38,Male,Ontario,Associate degree
68,Male,Newfoundland and Labrador,High school diploma
64,Female,Alberta,Associate degree
78,Female,Quebec,Associate degree
66,Male,Alberta,No high school diploma
66,Female,Ontario,Bachelor's degree
80,Female,Quebec,No high school diploma
67,Female,British Columbia,No high school diploma
29,Female,Alberta,Bachelor's degree
63,Female,British Columbia,Bachelor's degree
41,Female,Ontario,Bachelor's degree
77,Female,Manitoba,No high school diploma
75,Male,Quebec,No high school diploma
25,Female,Ontario,Associate degree
77,Male,Ontario,Associate degree
46,Male,Ontario,Master's degree
50,Male,Alberta,Associate degree
64,Female,Alberta,Associate degree
43,Female,British Columbia,Bachelor's degree
60,Female,Ontario,Associate degree
42,Male,Manitoba,Associate degree
37,Female,Newfoundland and Labrador,Bachelor's degree
65,Male,Ontario,High school diploma
61,Male,Ontario,High school diploma
69,Female,Manitoba,Associate degree
33,Male,Ontario,High school diploma
37,Female,Nova Scotia,Bachelor's degree
52,Male,Ontario,Bachelor's degree
62,Male,Alberta,Bachelor's degree
61,Male,Alberta,Associate degree
80,Male,British Columbia,Bachelor's degree
77,Male,Alberta,No high school diploma
76,Female,Quebec,No high school diploma
50,Male,Quebec,Bachelor's degree
36,Female,British Columbia,High school diploma
64,Female,British Columbia,No high school diploma
22,Male,Newfoundland and Labrador,Associate degree
66,Female,Quebec,No high school diploma
42,Female,Manitoba,Bachelor's degree
27,Male,Alberta,Bachelor's degree
57,Male,Ontario,Associate degree
52,Male,Quebec,No high school diploma
35,Male,New Brunswick,Associate degree
60,Male,Manitoba,High school diploma
69,Female,Ontario,Associate degree
34,Male,Saskatchewan,Associate degree
61,Male,Nova Scotia,Associate degree
56,Female,Prince Edward Island,Bachelor's degree
55,Female,Newfoundland and Labrador,Bachelor's degree
65,Female,Quebec,Bachelor's degree
50,Female,Quebec,Bachelor's degree
69,Male,Quebec,No high school diploma
69,Female,British Columbia,High school diploma
75,Male,Quebec,No high school diploma
67,Male,New Brunswick,Master's degree
67,Female,Alberta,Master's degree
27,Female,Alberta,Bachelor's degree
34,Male,Quebec,Associate degree
67,Male,Newfoundland and Labrador,No high school diploma
55,Female,Ontario,Master's degree
16,Male,British Columbia,No high school diploma
80,Female,Manitoba,No high school diploma
44,Female,Quebec,Associate degree
37,Female,New Brunswick,Associate degree
73,Female,Ontario,Master's degree
37,Female,Alberta,High school diploma
53,Female,Ontario,No high school diploma
38,Male,British Columbia,Associate degree
41,Female,Quebec,Associate degree
30,Male,Ontario,Bachelor's degree
42,Female,Nova Scotia,Bachelor's degree
66,Male,Alberta,Associate degree
48,Female,British Columbia,Bachelor's degree
76,Female,Ontario,High school diploma
27,Female,Newfoundland and Labrador,Bachelor's degree
45,Female,British Columbia,Associate degree
34,Female,Alberta,Associate degree
80,Female,Manitoba,Associate degree
58,Male,Saskatchewan,Associate degree
63,Female,Ontario,Associate degree
21,Female,Quebec,High school diploma
44,Male,Nova Scotia,High school diploma
60,Male,Nova Scotia,Associate degree
54,Male,Quebec,Bachelor's degree
41,Male,British Columbia,Associate degree
37,Male,British Columbia,Bachelor's degree
80,Female,Ontario,Bachelor's degree
46,Female,Ontario,Bachelor's degree
39,Male,British Columbia,Master's degree
69,Female,Quebec,No high school diploma
47,Female,British Columbia,Bachelor's degree
72,Female,Ontario,Master's degree
44,Female,Quebec,Bachelor's degree
63,Male,Ontario,Associate degree
65,Male,New Brunswick,High school diploma
59,Female,New Brunswick,Associate degree
50,Female,Manitoba,No high school diploma
69,Female,Saskatchewan,Bachelor's degree
36,Male,Quebec,High school diploma
52,Male,Quebec,Associate degree
55,Male,Ontario,Associate degree
39,Male,Ontario,Bachelor's degree
38,Male,Ontario,Bachelor's degree
39,Male,Quebec,Associate degree
30,Male,Quebec,Associate degree
51,Male,Ontario,Associate degree
24,Male,Saskatchewan,High school diploma
44,Male,New Brunswick,Associate degree
28,Male,Saskatchewan,Associate degree
35,Female,Ontario,Master's degree
70,Female,New Brunswick,No high school diploma
37,Male,Ontario,Associate degree
42,Female,Alberta,Associate degree
47,Male,Saskatchewan,Associate degree
65,Female,Saskatchewan,High school diploma
70,Male,Ontario,No high school diploma
68,Female,New Brunswick,No high school diploma
32,Female,Ontario,Associate degree
67,Female,Nova Scotia,Master's degree
64,Female,British Columbia,Bachelor's degree
58,Male,Ontario,Bachelor's degree
22,Male,Nova Scotia,High school diploma
53,Male,Ontario,Master's degree
56,Male,Quebec,High school diploma
37,Male,Ontario,Associate degree
59,Male,Quebec,High school diploma
38,Male,Quebec,Bachelor's degree
49,Female,Ontario,Bachelor's degree
36,Male,Saskatchewan,No high school diploma
42,Female,Ontario,Master's degree
73,Female,Quebec,Bachelor's degree
50,Female,Nova Scotia,Bachelor's degree
27,Female,Ontario,Associate degree
53,Female,Alberta,Associate degree
68,Female,British Columbia,Bachelor's degree
38,Male,Quebec,High school diploma
42,Male,Ontario,Associate degree
69,Male,Ontario,Associate degree
22,Male,Quebec,No high school diploma
76,Female,New Brunswick,No high school diploma
34,Female,Manitoba,High school diploma
50,Female,Alberta,High school diploma
80,Male,Alberta,Associate degree
32,Female,British Columbia,Master's degree
76,Male,Manitoba,No high school diploma
74,Male,British Columbia,No high school diploma
46,Male,British Columbia,Associate degree
54,Female,Ontario,Bachelor's degree
33,Male,Ontario,Associate degree
30,Male,Alberta,High school diploma
44,Male,Ontario,Bachelor's degree
26,Female,Quebec,Associate degree
72,Female,Newfoundland and Labrador,Bachelor's degree
55,Female,Quebec,High school diploma
80,Male,Nova Scotia,No high school diploma
76,Male,Newfoundland and Labrador,Associate degree
32,Female,British Columbia,Bachelor's degree
22,Male,British Columbia,High school diploma
76,Female,Ontario,Associate degree
66,Male,Nova Scotia,Master's degree
75,Male,Alberta,Bachelor's degree
29,Female,Quebec,Associate degree
76,Female,Manitoba,No high school diploma
19,Female,Quebec,Associate degree
53,Female,Ontario,Associate degree
70,Male,Prince Edward Island,High school diploma
56,Female,Ontario,High school diploma
26,Male,Newfoundland and Labrador,Bachelor's degree
42,Male,Ontario,Associate degree
23,Female,Alberta,Bachelor's degree
33,Male,Prince Edward Island,Associate degree
31,Female,Quebec,Bachelor's degree
80,Female,Nova Scotia,Associate degree
67,Male,Nova Scotia,Associate degree
49,Male,Nova Scotia,Master's degree
63,Female,Newfoundland and Labrador,Bachelor's degree
48,Male,Ontario,Associate degree
47,Male,New Brunswick,High school diploma
47,Female,British Columbia,High school diploma
73,Female,New Brunswick,High school diploma
31,Female,Ontario,Associate degree
66,Female,Ontario,Master's degree
50,Female,New Brunswick,Associate degree
27,Female,Quebec,High school diploma
65,Female,Quebec,No high school diploma
72,Male,Ontario,Associate degree
80,Male,New Brunswick,No high school diploma
42,Male,Ontario,Associate degree
19,Female,Ontario,High school diploma
33,Male,Manitoba,Associate degree
50,Male,British Columbia,Associate degree
74,Female,Ontario,High school diploma
36,Female,British Columbia,Bachelor's degree
66,Female,Ontario,Associate degree
65,Male,Ontario,High school diploma
80,Female,Manitoba,Associate degree
64,Female,Quebec,Bachelor's degree
72,Male,Quebec,No high school diploma
44,Male,Quebec,High school diploma
75,Male,British Columbia,No high school diploma
67,Male,British Columbia,Master's degree
79,Female,Nova Scotia,High school diploma
20,Female,Ontario,High school diploma
32,Male,Manitoba,Associate degree
37,Female,Prince Edward Island,Associate degree
63,Male,British Columbia,Associate degree
47,Female,Ontario,Associate degree
38,Female,Ontario,Associate degree
32,Male,Manitoba,No high school diploma
59,Male,British Columbia,Associate degree
35,Male,Ontario,Master's degree
80,Male,Ontario,High school diploma
44,Male,British Columbia,High school diploma
68,Female,Ontario,Associate degree
54,Male,British Columbia,Associate degree
58,Male,Ontario,High school diploma
49,Female,Ontario,Associate degree
39,Female,Quebec,Associate degree
66,Female,Prince Edward Island,Associate degree
44,Female,Saskatchewan,High school diploma
64,Male,New Brunswick,High school diploma
55,Male,Nova Scotia,High school diploma
64,Female,Newfoundland and Labrador,Bachelor's degree
67,Female,Manitoba,No high school diploma
80,Female,Ontario,Bachelor's degree
